0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/nouislider.min.js HTTP/1.1" 200 18332
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ajax/employee-position.js HTTP/1.1" 200 8458
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ajax/product-name.js HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ajax/service-name.js HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ajax/product-category.js HTTP/1.1" 200 8694
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ajax/service-category.js HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ajax/delivery.js HTTP/1.1" 200 8436
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ajax/extracharge.js HTTP/1.1" 200 9369
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/discount.js HTTP/1.1" 200 26386
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/discount-create.js HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/discount-update.js HTTP/1.1" 200 37821
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/discount-requirement.js HTTP/1.1" 200 4463
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/discount-deactivate.js HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/package.js HTTP/1.1" 200 25658
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/package-view.js HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:06 +0800] "GET /SalonManagement/js/ajax/package-update.js HTTP/1.1" 200 46579
